Seed,Cire_CV,Temperature,Wind speed,SoilHumi,K,P,Evapotranspiration
7.29,0.420673826,36,6,25.3,10,5,1.98
11.05,0.66353969,35.2,3,14,0,0,1.98
6.3,0.359851466,32.9,3,26.4,2,1,0.66
8.5,0.49630987,37,1,21,77,38,2.67
10.1,0.368643819,31.8,3,19.8,2,1,0.66
10.49,0.630934289,34.4,8,14.3,0,0,1.27
10.87,0.647652598,36,6,25.3,10,5,1.98
6.94,0.399555153,34.1,0,17.5,4,2,1.27
4.39,0.259147804,34.7,6,13.6,0,0,1.27
7.01,0.403451472,31.9,3,20.7,0,0,0.66
5,0.374652553,31.9,3,20.7,0,0,0.66
7.04,0.409541426,34.7,1,15,0,0,1.27
8.25,0.475313334,35.9,1,23,8,4,1.98
7.06,0.407867961,36.1,6,26.5,2,1,1.98
6.8,0.386794943,34.7,1,15,0,0,1.27
5.72,0.328043888,31.1,11,25,3,1,0.66
7,0.334350362,34.6,6,12.4,0,0,1.27
5.16,0.302636512,31.2,6,19.4,3,1,0.66
0.98,0.096300619,34.7,1,15,0,0,1.27
1.83,0.136091557,37.1,1,24.5,2,1,2.67
3.5,0.221303172,35.3,16,14,0,0,1.98
4.94,0.295180021,36.1,12,25.8,3,1,1.98
1.4,0.175729999,31.2,6,19.4,3,1,0.66
4.65,0.276995855,34.4,8,14.3,0,0,1.27
4.2,0.252116361,35.2,4,22,27,13,1.98
5.72,0.330889238,32.3,6,24,1,0,0.66
5.76,0.334185953,34.6,6,12.4,0,0,1.27
5.19,0.305246325,37.1,1,24.5,2,1,2.67
4,0.23924495,34.7,6,13,0,0,1.27
4.75,0.278713238,34.9,9,13.6,0,0,1.27
5.36,0.30998425,36.6,1,25,4,2,2.67
4.6,0.273701918,35.1,0,14.8,0,0,1.98
6.96,0.396274514,33.2,0,10.3,0,0,1.27
6.05,0.352926856,32.9,3,26.4,2,1,0.66
4.6,0.381550025,37.1,1,24.5,2,1,2.67
5.49,0.321846981,31.1,11,25,3,1,0.66
8.29,0.478926036,36.1,1,21,46,21,1.98
5.47,0.3123104,31.5,8,19.8,2,1,0.66
6.23,0.360284395,34.4,8,14.3,0,0,1.27
8.72,0.513903122,32.1,9,15.9,7,3,0.66
8.3,0.459661298,36,6,25.3,10,5,1.98
7.15,0.410421393,34,3,12,0,0,1.27
8.6,0.497718158,31.2,8,6.6,6,3,0.66
4.9,0.283580615,34.7,6,13,0,0,1.27
9.09,0.533166838,32.6,3,18.6,0,0,0.66
6.81,0.391251618,32.1,9,15.9,7,3,0.66
7.4,0.64433187,34.8,8,15,0,0,1.27
5.52,0.31707137,31.2,6,19.4,3,1,0.66
5.83,0.332970965,34.2,11,13.5,0,0,1.27
13.5,0.376211105,35.1,0,14.8,0,0,1.98
5.14,0.296524857,31.5,8,19.8,2,1,0.66
5.8,0.330941308,37.1,1,24.5,2,1,2.67
3.4,0.252387104,31.8,3,19.8,2,1,0.66
5.66,0.322760873,35.7,6,25,35,17,1.98
3.14,0.197854488,32.6,3,18.6,0,0,0.66
4.05,0.242752473,33.6,0,15.8,2,1,1.27
6.6,0.402291229,35.9,1,23,8,4,1.98
9.38,0.568297054,36.1,6,26.5,2,1,1.98
4.4,0.229896567,31.2,8,6.6,6,3,0.66
7.46,0.448960666,31.2,6,19.4,3,1,0.66
3.58,0.224101432,31.5,8,24,0,0,0.66
7.37,0.42418154,36.6,1,25,4,2,2.67
4.05,0.245270844,31.2,8,6.6,6,3,0.66
7.41,0.42547372,35.2,3,14,0,0,1.98
4.75,0.285284991,34,3,12,0,0,1.27
8.6,0.519723851,34.8,8,15,0,0,1.27
6.39,0.368839405,37.1,1,24.5,2,1,2.67
6.62,0.37773093,35.5,3,23,17,8,1.98
5.18,0.296562789,32,9,23.8,1,0,0.66
5.53,0.314487453,35.9,1,23,8,4,1.98
3.6,0.252097525,32.6,3,18.6,0,0,0.66
6.35,0.359450504,35.1,1,27,7,3,1.98
13.12,0.832014575,32.9,3,26.4,2,1,0.66
8.31,0.499200683,31.8,3,19.8,2,1,0.66
7.4,0.421902345,32.6,3,18.6,0,0,0.66
5.75,0.328496604,34.7,6,13.6,0,0,1.27
6.2,0.499869904,36.1,6,26.5,2,1,1.98
6.21,0.356156709,34.4,8,14.3,0,0,1.27
6.89,0.390972131,33.2,0,10.3,0,0,1.27
9.92,0.580183692,36.9,3,24.6,3,1,2.67
6.7,0.378895072,34,3,12,0,0,1.27
5.95,0.338227998,34.7,1,15,0,0,1.27
8.9,0.377561102,34.8,8,15,0,0,1.27
8.32,0.477838072,34.7,6,13,0,0,1.27
9.96,0.58403973,36.9,3,24.6,3,1,2.67
8.92,0.512553887,36.2,0,26.5,5,2,2.67
6.85,0.394489212,35.2,3,14,0,0,1.98
7.76,0.44201343,32.9,3,26.4,2,1,0.66
12.1,0.597831812,36.9,3,24.6,3,1,2.67
10.1,0.59085811,31.2,9,16.8,2,1,0.2
5.71,0.329219474,34.7,6,13,0,0,1.27
4.24,0.252539647,31.5,8,19.8,2,1,0.66
4.64,0.275293086,32.1,9,15.9,7,3,0.66
8.39,0.493503921,34.7,1,15,0,0,1.27
2.2,0.246151087,31.2,9,16.8,2,1,0.2
3.21,0.201880957,37.1,1,24.5,2,1,2.67
5.23,0.304628644,31.8,3,19.8,2,1,0.66
3.82,0.229248122,34.7,1,15,0,0,1.27
4.32,0.255377678,31.9,3,20.7,0,0,0.66
4.38,0.255876706,33.6,0,15.8,2,1,1.27
5.3,0.285056454,31.8,3,19.8,2,1,0.66
5.2,0.299362456,35.7,6,25,35,17,1.98
9.5,0.558293587,35.7,6,25,35,17,1.98
11.15,0.689402364,35.2,4,22,27,13,1.98
11.49,0.692373681,31.5,8,16.9,1,0,0.66
10.13,0.602177263,36.6,1,25,4,2,2.67
13.6,0.667454065,36,6,25.3,10,5,1.98
11.17,0.675676668,36.2,0,26.5,5,2,2.67
4.83,0.279618751,35.1,0,14.8,0,0,1.98
3.98,0.236374552,31.5,8,19.8,2,1,0.66
5.84,0.33542545,32.1,9,15.9,7,3,0.66
4.3,0.273323296,31.8,3,19.8,2,1,0.66
5.76,0.328558116,32.3,6,24,1,0,0.66
7.86,0.453337123,35.5,3,23,17,8,1.98
5.16,0.295355674,35.2,4,22,27,13,1.98
4.99,0.287732963,34.7,6,13.6,0,0,1.27
7.36,0.418045905,34.7,1,15,0,0,1.27
10.3,0.604430933,36.1,1,21,46,21,1.98
6.54,0.370959521,35.7,6,25,35,17,1.98
5.3,0.364275108,37.1,1,24.5,2,1,2.67
14.49,0.926410605,36.1,6,26.5,2,1,1.98
13.92,0.88659066,34.6,6,12.4,0,0,1.27
14.25,0.904557083,34.9,9,13.6,0,0,1.27
14.9,0.962516453,35.7,6,25,35,17,1.98
15.5,0.971036519,31.2,9,16.8,2,1,0.2
14.28,0.913641896,35.7,6,25,35,17,1.98
9.82,0.578704005,36.1,1,21,46,21,1.98
9.06,0.526916917,32.6,3,18.6,0,0,0.66
9.34,0.542210251,31.1,11,25,3,1,0.66
9.87,0.579027833,31.2,9,16.8,2,1,0.2
10.1,0.468236566,31.5,8,16.9,1,0,0.66
8,0.45993064,34.8,8,15,0,0,1.27
11.07,0.666888351,32.6,3,18.6,0,0,0.66
10.95,0.653110612,36,6,25.3,10,5,1.98
12.05,0.731918335,34.9,9,13.6,0,0,1.27
10.93,0.649394607,32.1,9,15.9,7,3,0.66
9,0.769330945,32.9,3,26.4,2,1,0.66
11.26,0.673250434,32.9,3,26.4,2,1,0.66
7.07,0.399536901,34.8,8,15,0,0,1.27
7.11,0.402580353,36.6,1,25,4,2,2.67
7.3,0.416994851,32.4,6,17.5,0,0,0.66
6.51,0.370913249,35.1,1,12.4,2,1,1.98
5.1,0.324987464,36,6,25.3,10,5,1.98
6.07,0.343175083,35.1,1,12.4,2,1,1.98
8.55,0.491788562,31.2,8,6.6,6,3,0.66
11.79,0.711774574,35.3,16,14,0,0,1.98
7.31,0.415056172,36.1,1,21,46,21,1.98
9.29,0.547583465,34.7,6,13.6,0,0,1.27
4.2,0.410649957,36,6,25.3,10,5,1.98
9.45,0.553486052,36.9,3,24.6,3,1,2.67
7.35,0.418338771,32.9,3,26.4,2,1,0.66
7.96,0.457639792,37,1,21,77,38,2.67
11.03,0.661514694,35.2,3,14,0,0,1.98
13.36,0.835258753,35.9,1,23,8,4,1.98
5,0.426724348,32.4,6,17.5,0,0,0.66
8.73,0.509170358,35.1,1,12.4,2,1,1.98
10.55,0.62548192,31.5,8,19.8,2,1,0.66
9.61,0.561305551,34.6,6,12.4,0,0,1.27
8.81,0.513601281,35.1,0,14.8,0,0,1.98
9.59,0.568687277,31.2,6,19.4,3,1,0.66
12.09,0.740167599,36.6,1,25,4,2,2.67
11,0.660103037,36.9,3,24.6,3,1,2.67
8.17,0.467562987,31.5,8,24,0,0,0.66
7.69,0.440244242,35.1,0,14.8,0,0,1.98
7.84,0.444358917,35.1,0,14.8,0,0,1.98
4,0.389414609,37.1,1,24.5,2,1,2.67
7.63,0.43300023,37.1,1,24.5,2,1,2.67
7.14,0.404949462,34.2,11,13.5,0,0,1.27
7.03,0.398547552,35.3,16,14,0,0,1.98
8.14,0.466970454,31.9,3,20.7,0,0,0.66
7.46,0.423237769,35.1,0,14.8,0,0,1.98
8.09,0.465696908,34.7,6,13,0,0,1.27
3.3,0.40756892,36,6,25.3,10,5,1.98
9.1,0.527401143,35.2,4,22,27,13,1.98
7.17,0.418145282,31.2,9,16.8,2,1,0.2
9.09,0.551804737,34.9,9,13.6,0,0,1.27
9.87,0.580037723,32.4,6,17.5,0,0,0.66
7.09,0.404341689,36.2,0,26.5,5,2,2.67
9.6,0.642856515,31.1,11,25,3,1,0.66
5.3,0.309244772,36,6,25.3,10,5,1.98
7.65,0.44692321,31.5,8,24,0,0,0.66
7.2,0.417054136,31.8,3,19.8,2,1,0.66
4.7,0.280292345,34.9,9,13.6,0,0,1.27
5.53,0.324808573,32.1,9,15.9,7,3,0.66
5.14,0.29601807,36.1,1,21,46,21,1.98
7.5,0.432558081,35.2,4,22,27,13,1.98
4.28,0.256178247,36.6,1,25,4,2,2.67
7.2,0.279226851,37.1,1,24.5,2,1,2.67
5.63,0.321477869,34.7,1,15,0,0,1.27
4.76,0.276522358,32.9,3,26.4,2,1,0.66
7.92,0.462863572,35.1,1,12.4,2,1,1.98
8.7,0.516406388,35.1,1,12.4,2,1,1.98
6.13,0.350060752,34.7,1,15,0,0,1.27
7.06,0.41166729,36.2,0,26.5,5,2,2.67
10.54,0.627315661,32.3,6,24,1,0,0.66
5.82,0.336688582,36,6,25.3,10,5,1.98
8.4,0.35122525,31.2,6,19.4,3,1,0.66
5.27,0.30891476,31.1,11,25,3,1,0.66
7.75,0.449082103,36.1,1,21,46,21,1.98
5.97,0.349047348,33.6,0,15.8,2,1,1.27
5.93,0.341203336,31.2,6,19.4,3,1,0.66
6.4,0.369497248,31.2,6,19.4,3,1,0.66
12.71,0.786602839,35.1,0,14.8,0,0,1.98
8.65,0.514266091,34.7,6,13.6,0,0,1.27
14.2,0.601253683,36.1,1,21,46,21,1.98
7.51,0.438598521,35.1,1,12.4,2,1,1.98
6.14,0.357586191,35.2,4,22,27,13,1.98
6.83,0.390701962,31.2,9,16.8,2,1,0.2
7.53,0.435359746,34.1,0,17.5,4,2,1.27
8.57,0.493622196,31.2,6,19.4,3,1,0.66
9.2,0.385885662,37.1,1,24.5,2,1,2.67
8.53,0.492829154,34.8,8,15,0,0,1.27
10.65,0.638267283,35.1,1,12.4,2,1,1.98
13.88,0.877129258,31.5,8,24,0,0,0.66
6.3,0.357569615,35.1,1,12.4,2,1,1.98
6.47,0.366734996,31.2,8,6.6,6,3,0.66
7.7,0.484409069,31.9,3,20.7,0,0,0.66
7.51,0.431234062,33.6,0,15.8,2,1,1.27
6.55,0.376891881,36.1,12,25.8,3,1,1.98
6.16,0.362552313,34.7,1,15,0,0,1.27
6.19,0.359178113,31.5,8,16.9,1,0,0.66
4.82,0.285134643,35.5,3,23,17,8,1.98
7.3,0.38000453,31.5,8,24,0,0,0.66
4.86,0.28823508,34.6,6,12.4,0,0,1.27
6.35,0.370515567,31.9,3,20.7,0,0,0.66
6.44,0.374859863,33.2,0,10.3,0,0,1.27
9.71,0.577513112,35.2,4,22,27,13,1.98
7.69,0.444993679,32.1,9,15.9,7,3,0.66
5.31,0.308476533,31.5,8,24,0,0,0.66
7.4,0.343266422,33.2,0,10.3,0,0,1.27
7.28,0.424997901,35.2,3,14,0,0,1.98
5.95,0.345462815,31.1,11,25,3,1,0.66
5.06,0.298023031,34.2,11,13.5,0,0,1.27
5.31,0.310000842,35.9,1,23,8,4,1.98
5.4,0.285177536,34.1,0,17.5,4,2,1.27
4.31,0.256252053,34.8,8,15,0,0,1.27
8.77,0.511851573,31.1,11,25,3,1,0.66
6.91,0.393339618,34.1,0,17.5,4,2,1.27
9.72,0.575601566,34.2,11,13.5,0,0,1.27
11.85,0.720162722,35.1,1,12.4,2,1,1.98
10,0.560589849,31.5,8,19.8,2,1,0.66
9.7,0.57015441,36.2,0,26.5,5,2,2.67
14.94,0.976195402,35.2,4,22,27,13,1.98
12.8,0.796501161,36.1,6,26.5,2,1,1.98
11.3,0.615543936,36,6,25.3,10,5,1.98
11.27,0.675296646,34,3,12,0,0,1.27
13.9,0.883712541,36.1,6,26.5,2,1,1.98
11.96,0.732328834,31.2,9,16.8,2,1,0.2
10.58,0.626533383,31.9,3,20.7,0,0,0.66
8.67,0.500165677,35.1,0,14.8,0,0,1.98
9.09,0.529291379,34.7,6,13,0,0,1.27
9.28,0.544594406,34.7,6,13.6,0,0,1.27
10.21,0.599084982,35.1,1,27,7,3,1.98
9.4,0.525183532,35.3,16,14,0,0,1.98
5.42,0.314324444,36.6,1,25,4,2,2.67
4.06,0.243171712,35.7,6,25,35,17,1.98
5.71,0.335127991,31.5,8,19.8,2,1,0.66
5.95,0.348496177,33.2,0,10.3,0,0,1.27
6,0.351222922,34.8,8,15,0,0,1.27
6.5,0.380299077,31.2,6,19.4,3,1,0.66
6.67,0.389797623,31.2,9,16.8,2,1,0.2
5.76,0.329625601,32.3,6,24,1,0,0.66
8.2,0.471547941,31.5,8,16.9,1,0,0.66
10.23,0.602835727,36.1,1,21,46,21,1.98
8,0.369584838,35.1,1,12.4,2,1,1.98
6.24,0.354618286,32.1,9,15.9,7,3,0.66
6.52,0.380813562,36.2,0,26.5,5,2,2.67
5.47,0.316465731,35.7,6,25,35,17,1.98
5.8,0.339314274,34.1,0,17.5,4,2,1.27
6.8,0.264953695,33.2,0,10.3,0,0,1.27
